cod_uf;sg_uf;populacao_uf;regiao
12;AC;884372;Norte
27;AL;3220848;Nordeste
13;AM;4321616;Norte
16;AP;806517;Norte
29;BA;14870907;Nordeste
23;CE;9268836;Nordeste
53;DF;2996899;Centro-Oeste
32;ES;4126854;Sudeste
52;GO;7423629;Centro-Oeste
21;MA;7018211;Nordeste
31;MG;21393441;Sudeste
50;MS;2924631;Centro-Oeste
51;MT;3893659;Centro-Oeste
15;PA;8711196;Norte
25;PB;4164468;Nordeste
26;PE;9562007;Nordeste
22;PI;3384547;Nordeste
41;PR;11890517;Sul
33;RJ;17223547;Sudeste
24;RN;3455236;Nordeste
11;RO;1751950;Norte
14;RR;738772;Norte
43;RS;11233263;Sul
42;SC;8187029;Sul
28;SE;2299425;Nordeste
35;SP;46081801;Sudeste
17;TO;1586859;Norte
